author,original_message,reply_emojis,encoded
bureikuz,yesterday works,https://cdn.discordapp.com/emojis/841886073519996979.gif?size=128&quality=lossless,24
wobkobi,drunk on coke,:lisaCat:,0
wobkobi,DO YOU WANT TO GO TO BARBIE ON MONDAY,:harryBarbie:,26
csonic235,ham adian and erin already got em soz,:adian:,30
wobkobi,bout to not be invited,https://cdn.discordapp.com/emojis/841886073519996979.gif?size=128&quality=lossless,24
wobkobi,:No:,https://cdn.discordapp.com/emojis/841886073519996979.gif?size=128&quality=lossless,24
bombard21,shes gone out clubbing,:lisaCat:,0
wobkobi,WOAH,:pigShock:,12
buddymmmm1,Wtf,:erinnnnnnnnnnnnnn:,22
oc2906,Lisa got me to play the game so she's my sole target,https://cdn.discordapp.com/emojis/1089829892616618025.webp?size=128&quality=lossless,28
gentleman_nathan,I actually selected data analysis on one of my grad applications,:lisaCat:,0
bureikuz,@pizza 💅🏻 give me a light blue role 🙂,https://cdn.discordapp.com/emojis/1089829892616618025.webp?size=128&quality=lossless,28
bombard21,Porky pizza,SHUT UP,7
csonic235,https://twitter.com/CSonic235/status/1682621793553764352,:harryBarbie:,26
bombard21,Are u getting crown victories,:mad:,4
wobkobi,THIS IS WHY I TOLD YOU NOT TO SPEAK,:pigShock:,12
gentleman_nathan,No,:lisaCat:,0
buddymmmm1,"🐖🔫👮‍♂️
🐖🔫👮‍♂️
🐖🔫👮‍♂️
🐖🔫👮‍♂️
🐖🔫👮‍♂️
🐖🔫👮‍♂️",:mad:,4
gentleman_nathan,Why are you pizza,:nathanielScary:,21
wobkobi,bruh,:catCry:,2
bureikuz,stay home instead,https://cdn.discordapp.com/emojis/841886073519996979.gif?size=128&quality=lossless,24
wobkobi,get back to work,:mad:,4
buddymmmm1,FOR REAL,BASED,29
wobkobi,no,:mad:,4
bombard21,"kinda weird, when your sister",SHUT UP,7
e.rinh,"kinda weird, when your dad",https://cdn.discordapp.com/emojis/881182531536449587.gif?size=128&quality=lossless,14
buddymmmm1,@pizza 💅🏻,:ohHello:,16
buddymmmm1,I cold,:pigCold:,25
wobkobi,YES,:clown~1:,9
e.rinh,:ken:,:ken:,3
wobkobi,@pizza 💅🏻,https://cdn.discordapp.com/emojis/881182531536449587.gif?size=128&quality=lossless,14
e.rinh,https://cdn.discordapp.com/emojis/841886073519996979.gif?size=128&quality=lossless,:catCry:,2
gentleman_nathan,@pizza 💅🏻 pink suit you better,:yay:,23
abuffaloherd,@pizza 💅🏻 where you,:ohHello:,16
gentleman_nathan,@pizza 💅🏻 reply to erin,:ohHello:,16
wobkobi,Nice,:catCry:,2
abuffaloherd,Nandos begeterian chinken,:ken:,3
wobkobi,I’ll post the burger again,https://cdn.discordapp.com/emojis/750768558975484065.webp?size=128&quality=lossless,15
wobkobi,I’ll post the burger again,:catCry:,2
bombard21,The top bun,SHUT UP,7
abuffaloherd,i have had kenough of john,SHUT UP,7
gentleman_nathan,No you,no you,31
wobkobi,Wear warmer clothes everyone,https://cdn.discordapp.com/emojis/841886073519996979.gif?size=128&quality=lossless,24
buddymmmm1,Final countdown,SHUT UP,7
bombard21,# HI BARBIE,:harryBarbie:,26
wobkobi,Late,https://cdn.discordapp.com/emojis/1070869015343411210.webp?size=128&quality=lossless,8
e.rinh,drama,:llama:,32
e.rinh,hi ken @zach 🤓,:harryBarbie:,26
wobkobi,I’m barbie,:harryBarbie:,26
buddymmmm1,@unipeople,:ken:,3
buddymmmm1,Who is ken,:ken:,3
buddymmmm1,Why is ham not ken,:ken:,3
bombard21,:WidePeepoClown1: :WideClownGun2: :WideClownGun3:,:gun:,18
csonic235,kill me,:gun:,18
buddymmmm1,Erin the Ken,:ken:,3
buddymmmm1,No u,no you,31
wobkobi,Why you summon her,https://cdn.discordapp.com/emojis/1069084325720637500.webp?size=128&quality=lossless,10
wobkobi,Permanent record,:clown~1:,9
e.rinh,lisa L,SHUT UP,7
buddymmmm1,kinda sad what happened,:joever:,6
buddymmmm1,and she seems to be drinking to cope,:lisaCat:,0
gentleman_nathan,Got siked,:nathanielScary:,21
gentleman_nathan,NO YOU,no you,31
oc2906,im just gonna go eat dinner,:ohHello:,16
oc2906,you mad i attazck you 200 times,no you,31
e.rinh,do u guys want to see wholesome barbie Tiktok,:harryBarbie:,26
wobkobi,https://tenor.com/view/barbie-ken-gif-26149444,:harryBarbie:,26
oc2906,nvm its down for update,:catcry:,17
wobkobi,Ew,:lisaCat:,0
wobkobi,"# 0th: me
# 1st: erin
# 2nd: adian
# 30th: lisa",:adian:,30
e.rinh,its so cold,:pigCold:,25
buddymmmm1,home,:pigWoozy:,27
wobkobi,was,https://cdn.discordapp.com/emojis/841886073519996979.gif?size=128&quality=lossless,24
e.rinh,say what,:lisaCat:,0
buddymmmm1,Omg they are still a thing?,https://cdn.discordapp.com/emojis/841886073519996979.gif?size=128&quality=lossless,24
wobkobi,cause its back,:catcry:,17
wobkobi,MY MUM NEEDED HELP THANK YOU VERY MUCH,https://cdn.discordapp.com/emojis/750768558975484065.webp?size=128&quality=lossless,15
e.rinh,this aint the last supper,SHUT UP,7
gentleman_nathan,you guys missed out,SHUT UP,7
wobkobi,Not today,:catcry:,17
abuffaloherd,at home,:pigWoozy:,27
e.rinh,5 weeks*,https://cdn.discordapp.com/emojis/1070869015343411210.webp?size=128&quality=lossless,8
wobkobi,your grade,:catcry:,17
e.rinh,how do u have that,:erinnnnnnnnnnnnnn:,22
bombard21,@pizza 💅🏻 is futurama coming to fortnut,https://cdn.discordapp.com/emojis/841886073519996979.gif?size=128&quality=lossless,24
e.rinh,send photo and make me sad,:joever:,6
abuffaloherd,slayyy 💅,https://cdn.discordapp.com/emojis/1089829892616618025.webp?size=128&quality=lossless,28
wobkobi,Eruope asia or America,https://cdn.discordapp.com/emojis/954378740958363748.webp?size=128&quality=lossless,19
buddymmmm1,slow?,https://cdn.discordapp.com/emojis/841886073519996979.gif?size=128&quality=lossless,24
bureikuz,@pizza 💅🏻 my money!!,https://cdn.discordapp.com/emojis/1089829892616618025.webp?size=128&quality=lossless,28
gentleman_nathan,7:45 plane Harrison?,:heheHarrison:,1
wobkobi,idk,:lisaCat:,0
wobkobi,Whale leap?,https://cdn.discordapp.com/emojis/841886073519996979.gif?size=128&quality=lossless,24
oc2906,**OI STOP BEING NOT NICE @pizza 💅🏻 **,:lisaCat:,0
oc2906,GET GAMING MONITOR USING SOME WIERD THING CALLED MONEY YOU GET FROM YOUR JOB,https://cdn.discordapp.com/emojis/750768558975484065.webp?size=128&quality=lossless,15
wobkobi,ok you know that weird dreamworks movie from the trailers at barbie,:harryBarbie:,26
csonic235,nope,:lisaCat:,0
bureikuz,https://tenor.com/view/fortnite-ruby-take-the-l-loser-loss-gif-19565684,:catcry:,17
e.rinh,the whole squads together,:yay:,23
csonic235,fraaaaaud,:gigaChad:,33
csonic235,then explain the joke,:gigaChad:,33
e.rinh,COLD,:pigCold:,25
csonic235,@pizza 💅🏻 lab soon,:lisaCat:,0
abuffaloherd,no wonder john can't do his work,SHUT UP,7
e.rinh,@pizza 💅🏻,:lisaCat:,0
oc2906,# @pizza 💅🏻 FORTNITE,:pigWoozy:,27
buddymmmm1,Based,BASED,29
e.rinh,good good,:yay:,23
wobkobi,Nah,:mad:,4
wobkobi,I was saying nah to the BeReal.,https://cdn.discordapp.com/emojis/1070869015343411210.webp?size=128&quality=lossless,8
bureikuz,:Lisa: ➡️ 😭,:ken:,3
e.rinh,:Lisa: ➡️💔,:erinnnnnnnnnnnnnn:,22
gentleman_nathan,:Lisa: ➡️:Buttercup_Happy:,:nathanielScary:,21
bombard21,@pizza 💅🏻 I am on ze couch,https://cdn.discordapp.com/emojis/1089829892616618025.webp?size=128&quality=lossless,28
e.rinh,he hasn’t played for a while,:lisaCat:,0
wobkobi,All the meat is pork related,:ohNoFull:,34
e.rinh,i was too tired to watch :lisaCat:,:lisaCat:,0
wobkobi,I’m at barbie set,:harryBarbie:,26
wobkobi,Too busy,:ohNoFull:,34
wobkobi,Can someone answer,:lisaCat:,0
oc2906,@pizza 💅🏻 stole 3.5m...,:catcry:,17
bureikuz,neither :Lisa:,:lisaCat:,0
abuffaloherd,How the fuck did you get notified instantly,:erinnnnnnnnnnnnnn:,22
wobkobi,Yes,:ohHello:,16
wobkobi,Fuck no,https://cdn.discordapp.com/emojis/841886073519996979.gif?size=128&quality=lossless,24
e.rinh,@everyone ranga roundup my house 2am tmrw,:erinnnnnnnnnnnnnn:,22
e.rinh,bruh,:skull~1:,5
csonic235,ur a fraud,:no:,35
e.rinh,i walked past :ken:  today again,:ken:,3
wobkobi,Will you be up to pinch and punch me?,:mad:,4
buddymmmm1,did you fail?,:clown~1:,9
wobkobi,Going to have some now,https://cdn.discordapp.com/emojis/1069084325720637500.webp?size=128&quality=lossless,10
csonic235,what's new,:erinnnnnnnnnnnnnn:,22
bombard21,it has gone up in a blaze,:skull~1:,5
wobkobi,Not pork,https://cdn.discordapp.com/emojis/750768558975484065.webp?size=128&quality=lossless,15
gentleman_nathan,She's off the rails today,no you,31
wobkobi,Jackread,:lisaCat:,0
e.rinh,oh wait I need to go up one more floor,:clown~1:,9
buddymmmm1,Erin has gone insane,:erinnnnnnnnnnnnnn:,22
wobkobi,12 hours,https://cdn.discordapp.com/emojis/1089829892616618025.webp?size=128&quality=lossless,28
oc2906,@pizza 💅🏻 fortnite after dinner,:erinnnnnnnnnnnnnn:,22
oc2906,# YOUR NOT GOOD,no you,31
oc2906,# THATS RIGHT YOU ARE A MONKEY,no you,31
bombard21,Your a monkey,no you,31
bombard21,https://tenor.com/view/ultimate-skip-card-gif-22153138,no you,31
oc2906,ive been playing,:erinnnnnnnnnnnnnn:,22
oc2906,not cold enough to not wear shorts tho,:pigCold:,25
oc2906,NO YOU NO RETURNS,no you,31
bombard21,Go say that to sungwoo,no you,31
abuffaloherd,# I NATE HIGGERS,:skull~1:,5
abuffaloherd,@pizza 💅🏻 are you at uni,https://cdn.discordapp.com/emojis/841886073519996979.gif?size=128&quality=lossless,24
oc2906,no she died,no you,31
oc2906,I'm sorry I'm bored again,:clown~1:,9
gentleman_nathan,:clown~1:,:clown~1:,9
gentleman_nathan,:clown~1:,:clown~1:,9
buddymmmm1,Why y’all so racist,:thomasSurprised:,36
gentleman_nathan,:clown~1:,:clown~1:,9
gentleman_nathan,:clown~1:,:clown~1:,9
gentleman_nathan,:erinnnnnnnnnnnnnn:,:erinnnnnnnnnnnnnn:,22
oc2906,I'm very lucky with my 2 50x chests in a row thank you very much,:mad:,4
oc2906,No u,no you,31
csonic235,you use facebook too?! jeez,:gigaChad:,33
oc2906,Facebook is best,https://cdn.discordapp.com/emojis/841886073519996979.gif?size=128&quality=lossless,24
oc2906,CANCEL YOUR LIFE MEMEBERSHIP,no you,31
gentleman_nathan,missionaries and cannibals?,:nathanielScary:,21
gentleman_nathan,you happily skipped over the context,:no:,35
csonic235,this is actually a v attractive picture of mr nathan,:nathanielScary:,21
gentleman_nathan,no you,no you,31
bureikuz,THIS IS WHY YOU NEED A DESK,:erinnnnnnnnnnnnnn:,22
nekoshay,Not me 💅,:lisaCat:,0
bombard21,iTS ONLY 4 LEGS AND A TRABLE TOP,:ken:,3
bombard21,forgive me so is the imac just a computer without a screen,:no:,35
gentleman_nathan,I don't have any classes today,:erinnnnnnnnnnnnnn:,22
e.rinh,she be there around 2:30,https://cdn.discordapp.com/emojis/841886073519996979.gif?size=128&quality=lossless,24
abuffaloherd,we should play space station 14,https://cdn.discordapp.com/emojis/954378740958363748.webp?size=128&quality=lossless,19
bombard21,@krayon 🖍 posted last night,https://cdn.discordapp.com/emojis/881182531536449587.gif?size=128&quality=lossless,14
csonic235,I am at home :),:pigWoozy:,27
wobkobi,Back to lab,:catcry:,17
bombard21,@pizza 💅🏻 why u being racist,no you,31
oc2906,idk,:mad:,4
bombard21,skskskskskskskskksksksksksksksks,:skull~1:,5
bombard21,for apple car play?,https://cdn.discordapp.com/emojis/841886073519996979.gif?size=128&quality=lossless,24
bombard21,no,:skull~1:,5
bombard21,https://tenor.com/view/dun-dun-dun-gif-10011441,https://cdn.discordapp.com/emojis/771016190101291008.webp?size=128&quality=lossless,37
bombard21,https://tenor.com/view/what-do-you-want-jesus-south-park-s3e16-are-you-there-god-its-me-jesus-gif-21980033,https://cdn.discordapp.com/emojis/771016190101291008.webp?size=128&quality=lossless,37
bombard21,https://tenor.com/view/hi-hola-gif-23436763,https://cdn.discordapp.com/emojis/881182531536449587.gif?size=128&quality=lossless,14
bombard21,im being mean,:mad:,4
wobkobi,:RewardBox_Tier_01: :RewardBox_Tier_02: :RewardBox_Tier_03: :StickerPack_Gifting: :StickerPack_GuaranteedGoldSticke: :StickerPack_Orange_Level1_Icon: :StickerPack_Tier1_Level4_Icon: :StickerPack_Tier2_Level2_Icon: :StickerPack_Tier3_Level2_Icon:,:thomasSurprised:,36
gentleman_nathan,yessir,:thomasSurprised:,36
e.rinh,but they always have a comeback,https://cdn.discordapp.com/emojis/841886073519996979.gif?size=128&quality=lossless,24
wobkobi,Imma get American fish and chips,:shaking:,38
gentleman_nathan,not started,:clown~1:,9
csonic235,Lisa are you working tonight?,:clown~1:,9
gentleman_nathan,you're welcome,no you,31
wobkobi,I got dunken ice coffee,:ken:,3
wobkobi,Tomorrow,https://cdn.discordapp.com/emojis/881182531536449587.gif?size=128&quality=lossless,14
e.rinh,connected rooms are fun,https://cdn.discordapp.com/emojis/841886073519996979.gif?size=128&quality=lossless,24
csonic235,short people are warm bc they're closer to hell,:gigaChad:,33
wobkobi,:l_yellowbye:,https://cdn.discordapp.com/emojis/771016190101291008.webp?size=128&quality=lossless,37
gentleman_nathan,I have finished CISE Week 3,no you,31
bombard21,Thanks I am bad Mr Sherlock,:yay:,23
gentleman_nathan,okay pizza,:mad:,4
e.rinh,what time is it,:thinking:,39
bombard21,What u think Nathan gonna hack your car when u plug the cable into your car,:skull~1:,5
bureikuz,Isn't that your bedtime?,:erinnnnnnnnnnnnnn:,22
oc2906,Msg me on snap so I get a notification when your ready,https://cdn.discordapp.com/emojis/841886073519996979.gif?size=128&quality=lossless,24
bombard21,Lisa will be asleep u cam just replace her,:mad:,4
e.rinh,:no:,:catcry:,17
bombard21,lisa?,SHUT UP,7
bombard21,Lost my patience with monopoly go,:erinnnnnnnnnnnnnn:,22
wobkobi,@arin 🐢 @pizza 💅🏻 have you happened to watch full house?,:no:,35
wobkobi,Cool. Not checking,:mad:,4
wobkobi,I need a vacation,https://cdn.discordapp.com/emojis/1070869015343411210.webp?size=128&quality=lossless,8
wobkobi,Jack in the box has good seasoning,:evilJack:,40
bombard21,fortnite battle pass,https://cdn.discordapp.com/emojis/1069084325720637500.webp?size=128&quality=lossless,10
bureikuz,i got removed from uni cause of my shit attendance rate,https://cdn.discordapp.com/emojis/1070869015343411210.webp?size=128&quality=lossless,8
e.rinh,bad influence,https://cdn.discordapp.com/emojis/1069084325720637500.webp?size=128&quality=lossless,10
e.rinh,come to see me :yay:,:yay:,23
e.rinh,I’m legit there the whole day,:catcry:,17
bombard21,Nope,:catcry:,17
gentleman_nathan,Be there in 7,:gun:,18
bombard21,U reckon she might get pulled under the treadmill,SHUT UP,7
oc2906,no fortnite tonight,:skull~1:,5
wobkobi,No,:catcry:,17
wobkobi,Well do you have like $7000+,:gigaChad:,33
csonic235,hello how much?,:ohHello:,16
csonic235,how bout she get some BITCHES,:erinnnnnnnnnnnnnn:,22
e.rinh,his fault not mine 😭,https://cdn.discordapp.com/emojis/841886073519996979.gif?size=128&quality=lossless,24
e.rinh,https://tenor.com/view/goodnight-cat-gif-26169985,:yay:,23
wobkobi,Come touch grass,:TouchGrass:,41
wobkobi,But she can’t drive,:angy:,20
wobkobi,Picture of license rn,:lisaCat:,0
bombard21,u better pass it first try,:erinnnnnnnnnnnnnn:,22
bureikuz,have you?,https://cdn.discordapp.com/emojis/841886073519996979.gif?size=128&quality=lossless,24
wobkobi,🤫,:harryBarbie:,26
wobkobi,No,:catcry:,17
wobkobi,Thought so,:erinnnnnnnnnnnnnn:,22
bombard21,@pizza 💅🏻 ^ that u,:erinnnnnnnnnnnnnn:,22
e.rinh,sure,https://cdn.discordapp.com/emojis/881182531536449587.gif?size=128&quality=lossless,14
e.rinh,poor adian,:adian:,30
wobkobi,Rich,:sad:,42
oc2906,st kents better school,:ken:,3
oc2906,st kents ain't much better with bad media attention,:ken:,3
bureikuz,@pizza 💅🏻 what time u guys going home,:pigWoozy:,27
wobkobi,Omg great game,:lisaCat:,0
abuffaloherd,Need to reupload my favourite stickers from the uncool server,:erinnnnnnnnnnnnnn:,22
bombard21,just get blake and nathan on,:nathanielScary:,21
bombard21,"# AGAIN, NO",:mad:,4
oc2906,and still be on your phone smh,:mad:,4
bombard21,@pizza 💅🏻,:erinnnnnnnnnnnnnn:,22
bureikuz,@pizza 💅🏻 u at uni?,https://cdn.discordapp.com/emojis/841886073519996979.gif?size=128&quality=lossless,24
bombard21,@pizza 💅🏻 🤢🤮,SHUT UP,7
bureikuz,The sooner you can become a billionare,:erinnnnnnnnnnnnnn:,22
e.rinh,we play tonight,:pigWoozy:,27
e.rinh,:erinnnnnnnnnnnnnn:,:erinnnnnnnnnnnnnn:,22
oc2906,see erin gets it,:no:,35
bureikuz,@pizza 💅🏻 u still at uni,https://cdn.discordapp.com/emojis/841886073519996979.gif?size=128&quality=lossless,24
gentleman_nathan,@pizza 💅🏻 u still at Uni?,:no:,35
bombard21,And their is the famous Lisa one liner,:evilJack:,40
wobkobi,Guess no prime,:erinnnnnnnnnnnnnn:,22
oc2906,bring a brick of cocaine 🙏,:erinnnnnnnnnnnnnn:,22
bombard21,"Yea, thought so",:mad:,4
e.rinh,smh i was in the shower,:mad:,4
e.rinh,:ken:,:lachlan:,43
csonic235,lisa why are you so mean to me?,:erinnnnnnnnnnnnnn:,22
e.rinh,💀,:angy:,20
bombard21,On the work computers,:lachlan:,43
e.rinh,I was up at 7:30,:lisaCat:,0
bombard21,Bank rupt,:tired:,44
wobkobi,You are the majority of no u in all the variations,no you,31
gentleman_nathan,you're drama,https://cdn.discordapp.com/emojis/1089829892616618025.webp?size=128&quality=lossless,28
e.rinh,i hate plane food :lisaCat:,https://cdn.discordapp.com/emojis/841886073519996979.gif?size=128&quality=lossless,24
e.rinh,@bozo  is anyone going to vesbar quiz thing tomorrow evening?,:no:,35
abuffaloherd,i want to sleep in and do rnd in the safety and comfort of my home,:pigWoozy:,27
e.rinh,I’ll bring my yearbook,:ohHello:,16
wobkobi,Monday I could be,:erinnnnnnnnnnnnnn:,22
e.rinh,Lisa u better come tomorrow,:erinnnnnnnnnnnnnn:,22
yungmarin,I’m not in my yr 12 yearbook cause I had dyed hair :gx_bruh:,:erinnnnnnnnnnnnnn:,22
e.rinh,https://tenor.com/view/tom-and-jerry-tom-sleep-sleepy-eyes-gif-15060034,https://cdn.discordapp.com/emojis/841886073519996979.gif?size=128&quality=lossless,24
buddymmmm1,Ima blow you up,no you,31
bombard21,dont u say the fucking line lisa,no you,31
bombard21,@pizza 💅🏻 has given up on the child,:ohHello:,16
wobkobi,saw those,https://cdn.discordapp.com/emojis/1069084325720637500.webp?size=128&quality=lossless,10
bureikuz,home,:pigWoozy:,27
wobkobi,If I knew context,:lisaCat:,0
e.rinh,what time do cars finish tomo,:thinking:,39
gentleman_nathan,I can see ms Lisa in the bidding list lmao,:mad:,4
bombard21,took a break on the massage chair,:skull~1:,5
bombard21,"# @pizza 💅🏻 NO PAIN NO GAIN 
# NO PAIN NO GAIN
# NO PAIN NO GAIN
# NO PAIN NO GAIN
# NO PAIN NO GAIN
# NO PAIN NO GAIN
# NO PAIN NO GAIN",https://cdn.discordapp.com/emojis/841886073519996979.gif?size=128&quality=lossless,24
e.rinh,https://tenor.com/view/homer-cinnamon-bed-cozy-gif-24051578,https://cdn.discordapp.com/emojis/841886073519996979.gif?size=128&quality=lossless,24
abuffaloherd,rude,:adian:,30
bureikuz,didnt know u were the lorax,:erinnnnnnnnnnnnnn:,22
